Label,comment
U0001F44E,نسبت به قیمتش نمی ارزه درحال حاظر چون گوشی میان رده و باید زیر 1500باشه
U0001F4AE,"من اینو تو شگفت انگیز خریدم.
تو خریدش شک نکنید.
خیلی سریع و قوی شارژ میکنه."
U0001F44D,"با سلام بنده این سنسور  پارک رو به جای سنسور پارک مسخره و بی فایده فابریک ایرانخودرو نصب کردم که مدام بوق یه سره میزد
 البته من خودم نصبش کردم کار آسونی هستش یه کم تو نت گشتم راشو پیدا کردم البته رو پژو پرشیا یکم سخته چون پشت سپر فوم داره ناچار شدم سپر عقب  رو کلا باز کنم و بخاطر همون فوم پشت سپر بیرون نصبشو قبول نمیکردن و سنسور  رو دستم مونده بود به هر حال این مدل ارزش خرید داره"
U0001F44E,"فقط برای حمایت تولید داخلی اینو خریدم، متاسفانه همون اول دیدم ک داخل اون ماجراش روغنیه و بوی روغن صنعتی هم میده حتا بعد ی بار شستشو ..و اینکه قشنگ مشخصه تکنولوژی سی سال قبله و حیفه ک با اینکه میشد بهتر و تمیزتر کار کنن نمیکنن از کیفیت بدنه و طراحی تا لبه ای ک از تیغه پریده بوده . اصلن هم ب فکر خرد کردن غیر گوشت مثل سبزی باهاش نباشین."
U0001F44E,"به هیچ عنوان ضد آب نیست
لطفن تست نکرده نگید ضد آب هست
دفعه اولی که بردمش لب ساحل اتصالی کرده و هنگه"
U0001F922,"دقیقا موندم از کجا شروع کنم
از کیفیت بسیار پایین بدنه و قطعات از درب عجیب و خنده دار باتریش از خاموش شدنهای مکررر و بی دلیل یا از قطع و وصل شدن صدا هنگام تماس یا عدم ارسال پیامهای که حجمشون بیشتر از سه پیامکه و و و و
 ارزش خرید نداره.
در کل یا گوشی چینی بی کیفیته که تو ایران سروهم میشه به اسم ساخت ایران.
راستی دوستان رمز پیش فرض گوشی چهارتا صفر هستش"
U0001F611,من ازین محصول خریدم و متاسفانه الان دو هفتس توی ماشین و دریغ از یذره بوی خوش! نمیدونم این همه مبلغ گرون واسه چیه؟ اصلا ارزش خرید نداره
U0001F44D,اورگریپ بسیار خوبیه و چسبندگی خاصی ایجاد میکنه که در زمان زدن ضربات کمک خوبیه.ضمن اینکه دوام خوبی هم داره.
U0001F60D,"من موهام فره ، وقتی به موهام میزنم خیلی خیلی نرم و لطیفشون میکنه ، بدون اینکه حالت فرشون رو تغییر بده .یعنی من بعد از استفاده ازش موی فر خیلی لطیف دارم و یک درصد هم از زبری و خشنی موی فرم باقی نمیمونه . اما به محض اینکه روسری سرم کنم موهام صاف و لخت میشه و دیگه به حالت قبل برنمیگرده . بوی خییلی خوبی هم داره ."
U0001F44D,"سلام بعد یکسال استفاده از این گوشی کاملا از خریدم راضی هستم اندروید 7 داره که سرعتش خیلی خوبه و جواب همه انتظار هایی که دارید رو میده (انتظارتون اندازه پولی که میدین باشه). بهترین ویژگی ای که خیلی ازش راضی ام باطریه فوق‌العاده ش هست که به راحتی واسه دوروز استفاده معمولی رو به بالا جواب میده. دوربین هاش راضی تون میکنن و عکساش کیفیت خوبی دارن. فقط تنها چیزی که من زیاد خوشم نمیاد طراحی پشت گوشی هست....
در نهایت به هرکسی که زیر 1 میلیون دنبال یه گوشی خوب میگرده این گوشی رو پیشنهاد میکنم"
U0001F44D,"این گوشی خیلی خوبیه با توجه به امکانات سخت افزاری و با این قیمت مناسبی
که داره. خوش دست البته باید براش گارد بگیرین وگرنه از دستتون لیز میخوره.
تکنولوژی صدای دالبی دیجیتال. صفحه نمایش خوب. حاشیه نسبتا کم. edge بسیار ریز که زیباییش رو دو چندان کرده. فقط رم به نظرم پایینه ولی هنوز مشکلی پیش نیومده."
U0001F44D,خیلی خوب همه همه جور قابلیتی داره من که راضیم ازش فقط نمیدونم حافظه داخلیش به چه درد میخوره
U0001F44D,"اگه یه کیف محافظ براش بگیرین و استفاده عادی کنین هیچ مشکلی براش پیش نمیاد،من 3 ساله دارم و کوچکترین ایرادی ندیدم ازش،وظیفه هارد بودنش که ذخیره اطلاعاته رو خوب انجام میده"
U0001F60D,بوی خیلی شیک و دوست داشتنی با ماندگاری مناسب.
U0001F60D,سلام الان که این نظرو مینویسم دقیقا همین الان گوشی موجود شد ولی قیمت انتظار بالاتر میره قیمت اخرش باید 1.6 باشه و دیجی با دلار خوبی حساب نکرده (جهانگیری) خب باید بگم که این گوشی رو من دستم گرفتم بهترین و خوشگلترین سری گوشی که خیلیا هواوی بودنشو مردم ایران بد میدوند این گوشی بهترین میانرده با این قیمت و پرو این نسخه که ماه دیگه میاد از s9+ هم قویتر خواهد بود و زیباترین گوشی اندرویدی رو به خودش اختصاص داده دیجی ممنون که زود موجود کردی چهار روز دیگه انتظار میرفت و در اخر بگم که طراحی سامسونگ هم به سمت ایفون x خواهد رفت تیم کوک طراحی های جدید خواهد داد ولی هوآوی به دلیل پیشرفت این طرحو زده و دوربین و امکانات دیگر کاملا حرف خود هواویه به هر حال امیدوارم ارزونتر کنی دیجی ممنون.
U0001F922,"روز اول خوب بود روز دوم ترکید و پاره شد 
اصلا به درد نمی خوره فقط کافیه بیش از حد فشارش بدی می ترکه
من که اصلا راضی نبودم"
